ObtenRelojDatosEmps 2, 1450, '2016-01-26', '08:00:08', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-01', '16:59:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-01', '17:00:03', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-01', '22:58:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-01', '22:58:18', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-01', '23:04:26', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-01', '23:04:32', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-01', '23:05:59', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-01', '23:06:06', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-01', '23:07:59', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-01', '23:08:02', 'N', ' ', ' '
ObtenRelojDatosEmps X, 24, '2016-03-02', '06:37:40', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-02', '06:37:52', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-02', '06:37:55', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-02', '06:55:08', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-02', '06:55:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-02', '07:00:06', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-02', '07:00:09', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-02', '07:05:10', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-02', '07:05:20', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-02', '07:47:08', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-02', '07:47:21', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-02', '08:43:00', 'N', ' ', ' '
ObtenRelojDatosEmps X, 44, '2016-03-02', '09:12:08', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-02', '12:13:47', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-02', '12:14:13', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-02', '14:40:36', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-02', '14:40:39', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-02', '14:57:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-02', '14:57:38', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-02', '15:01:15', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-02', '15:01:26', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-02', '15:01:29', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-02', '15:02:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 24, '2016-03-02', '15:05:57', 'N', ' ', ' '
ObtenRelojDatosEmps X, 44, '2016-03-02', '16:55:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-02', '16:55:18', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-02', '16:55:21', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-02', '17:00:04', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-02', '17:33:48', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-02', '22:22:53', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-02', '22:22:56', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-02', '22:57:09', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-02', '22:57:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-02', '23:03:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-02', '23:03:43', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-02', '23:03:46', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-02', '23:11:44', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-02', '23:11:48', 'N', ' ', ' '
ObtenRelojDatosEmps X, 24, '2016-03-03', '06:39:42', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-03', '06:39:51', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-03', '06:39:54', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-03', '06:58:23', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-03', '07:04:52', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-03', '07:08:38', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-03', '07:08:41', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-03', '07:23:07', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-03', '07:23:10', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-03', '07:47:23', 'N', ' ', ' '
ObtenRelojDatosEmps X, 44, '2016-03-03', '08:37:15', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-03', '08:57:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-03', '08:57:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-03', '09:15:50', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-03', '14:27:43', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-03', '14:27:59', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-03', '14:28:02', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-03', '14:58:05', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-03', '14:58:08', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-03', '15:03:23', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-03', '15:04:27', 'N', ' ', ' '
ObtenRelojDatosEmps X, 24, '2016-03-03', '15:08:34', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-03', '15:10:08', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-03', '15:10:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-03', '16:55:36', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-03', '16:56:07', 'N', ' ', ' '
ObtenRelojDatosEmps X, 44, '2016-03-03', '16:56:34', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-03', '17:00:16', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-03', '22:56:40', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-03', '22:56:44', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-03', '22:58:02', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-03', '22:58:05', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-03', '22:58:40', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-03', '22:58:43', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-03', '23:07:20', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-03', '23:07:26', 'N', ' ', ' '
ObtenRelojDatosEmps X, 24, '2016-03-04', '06:37:44', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-04', '06:38:02', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-04', '06:38:05', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-04', '07:02:46', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-04', '07:02:58', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-04', '07:03:02', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-04', '07:03:09', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-04', '07:03:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-04', '07:03:38', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-04', '07:03:41', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-04', '07:06:33', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-04', '07:06:36', 'N', ' ', ' '
ObtenRelojDatosEmps X, 72, '2016-03-04', '07:08:17', 'N', ' ', ' '
ObtenRelojDatosEmps X, 72, '2016-03-04', '07:08:20', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-04', '07:09:50', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-04', '07:09:54', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-04', '07:49:57', 'N', ' ', ' '
ObtenRelojDatosEmps X, 44, '2016-03-04', '08:33:45', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-04', '08:38:00', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-04', '08:38:03', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-04', '09:28:20', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-04', '09:28:23', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-04', '14:54:47', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-04', '14:54:50', 'N', ' ', ' '
ObtenRelojDatosEmps X, 72, '2016-03-04', '15:00:17', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-04', '15:00:28', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-04', '15:00:39', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-04', '15:00:42', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-04', '15:01:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-04', '15:01:15', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-04', '15:07:56', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-04', '15:07:59', 'N', ' ', ' '
ObtenRelojDatosEmps X, 44, '2016-03-04', '16:50:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-04', '16:55:32', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-04', '16:55:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-04', '16:55:42', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-04', '16:55:45', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-04', '17:00:05', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-04', '22:13:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-04', '22:13:15', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-04', '22:46:59', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-04', '22:47:02', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-04', '22:47:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-04', '22:57:50', 'N', ' ', ' '
